day,store_id,store_format,category,dow,month,promo_flag,lag_7,lag_14,roll_28_mean,sales
500,S01,hyper,cat_A,3,4,1,162.8,181.98,86.96035714285712,371.28
501,S01,hyper,cat_A,4,4,0,168.1,171.27,67.48035714285712,153.86
502,S01,hyper,cat_A,5,4,1,212.31,190.52,87.32642857142855,579.86
503,S01,hyper,cat_A,6,4,0,187.48,200.49,70.96185185185183,185.81
504,S01,hyper,cat_A,0,4,0,149.54,162.22,50.8267857142857,135.74
505,S01,hyper,cat_A,1,4,1,143.7,162.29,44.64785714285712,416.24
506,S01,hyper,cat_A,2,4,0,130.86,177.88,68.88499999999998,152.01
507,S01,hyper,cat_A,3,4,1,371.28,162.8,87.79285714285712,399.38
508,S01,hyper,cat_A,4,4,0,153.86,168.1,56.496071428571405,141.57
509,S01,hyper,cat_A,5,4,1,579.86,212.31,85.87964285714284,523.47
510,S01,hyper,cat_A,6,5,0,185.81,187.48,74.67571428571428,207.66
511,S01,hyper,cat_A,0,5,0,135.74,149.54,64.50999999999999,181.83
512,S01,hyper,cat_A,1,5,0,416.24,143.7,68.43357142857141,134.75
513,S01,hyper,cat_A,2,5,1,152.01,130.86,139.99925925925925,448.01
514,S01,hyper,cat_A,3,5,1,399.38,371.28,82.19464285714284,393.89
515,S01,hyper,cat_A,4,5,0,141.57,153.86,61.8467857142857,156.31
516,S01,hyper,cat_A,5,5,0,523.47,579.86,89.86321428571425,175.3
517,S01,hyper,cat_A,6,5,0,207.66,185.81,79.67035714285713,211.3
518,S01,hyper,cat_A,0,5,1,181.83,135.74,52.54035714285713,460.71
519,S01,hyper,cat_A,1,5,0,134.75,416.24,78.81964285714284,178.78
520,S01,hyper,cat_A,2,5,1,448.01,152.01,98.26642857142853,364.33
521,S01,hyper,cat_A,3,5,1,393.89,399.38,89.52464285714284,427.53
522,S01,hyper,cat_A,4,5,0,156.31,141.57,98.0035714285714,167.47
523,S01,hyper,cat_A,5,5,0,175.3,523.47,211.0017857142857,162.21
524,S01,hyper,cat_A,6,5,1,211.3,207.66,69.69892857142857,515.87
525,S01,hyper,cat_A,0,5,0,460.71,181.83,48.26535714285712,171.61
526,S01,hyper,cat_A,1,5,1,178.78,134.75,74.14785714285712,420.45
527,S01,hyper,cat_A,2,5,0,364.33,448.01,88.07964285714284,142.01
528,S01,hyper,cat_A,3,5,0,427.53,393.89,69.9742857142857,172.93
529,S01,hyper,cat_A,4,5,0,167.47,156.31,91.12749999999998,154.04
530,S01,hyper,cat_A,5,5,1,162.21,175.3,89.31037037037036,510.15
531,S01,hyper,cat_A,6,5,0,515.87,211.3,51.046071428571416,213.39
532,S01,hyper,cat_A,0,5,0,171.61,460.71,46.6142857142857,147.75
533,S01,hyper,cat_A,1,5,0,420.45,178.78,64.99321428571427,145.74
