day,store_id,store_format,category,dow,month,promo_flag,lag_7,lag_14,roll_28_mean,sales
14,S01,hyper,cat_A,0,0,0,112.2,123.99,184.88035714285715,135.83
15,S01,hyper,cat_A,1,0,0,120.63,107.43,138.0010714285714,129.96
16,S01,hyper,cat_A,2,0,0,122.76,136.47,194.9085714285714,114.46
17,S01,hyper,cat_A,3,0,0,146.86,129.06,152.46074074074076,134.98
18,S01,hyper,cat_A,4,0,0,136.09,108.01,107.83892857142857,127.94
19,S01,hyper,cat_A,5,0,0,145.58,140.49,96.86714285714287,164.35
20,S01,hyper,cat_A,6,0,0,129.13,163.03,132.38142857142856,162.23
21,S01,hyper,cat_A,0,0,0,135.83,112.2,165.08571428571432,149.29
22,S01,hyper,cat_A,1,0,0,129.96,120.63,119.79035714285715,124.02
23,S01,hyper,cat_A,2,0,0,114.46,122.76,185.60964285714286,154.21
24,S01,hyper,cat_A,3,0,0,134.98,146.86,160.15,129.43
25,S01,hyper,cat_A,4,0,0,127.94,136.09,135.08607142857142,142.36
26,S01,hyper,cat_A,5,0,0,164.35,145.58,146.83607142857142,164.6
27,S01,hyper,cat_A,6,0,0,162.23,129.13,237.67851851851853,149.96
28,S01,hyper,cat_A,0,0,1,149.29,135.83,169.29928571428573,239.35
29,S01,hyper,cat_A,1,0,0,124.02,129.96,126.78142857142858,128.28
30,S01,hyper,cat_A,2,1,0,154.21,114.46,190.82357142857146,134.28
31,S01,hyper,cat_A,3,1,0,129.43,134.98,153.75,137.78
32,S01,hyper,cat_A,4,1,0,142.36,127.94,117.66964285714288,129.75
33,S01,hyper,cat_A,5,1,0,164.6,164.35,145.73214285714286,178.18
34,S01,hyper,cat_A,6,1,0,149.96,162.23,195.33785714285713,189.19
35,S01,hyper,cat_A,0,1,0,239.35,149.29,187.87678571428572,162.0
36,S01,hyper,cat_A,1,1,0,128.28,124.02,158.50321428571428,114.41
37,S01,hyper,cat_A,2,1,0,134.28,154.21,324.8328571428571,150.19
38,S01,hyper,cat_A,3,1,0,137.78,129.43,139.17535714285714,125.3
39,S01,hyper,cat_A,4,1,0,129.75,142.36,97.14785714285715,144.68
40,S01,hyper,cat_A,5,1,1,178.18,164.6,157.085,258.43
41,S01,hyper,cat_A,6,1,0,189.19,149.96,169.72857142857143,171.33
42,S01,hyper,cat_A,0,1,0,162.0,239.35,145.34785714285712,124.42
43,S01,hyper,cat_A,1,1,0,114.41,128.28,177.74535714285716,131.42
44,S01,hyper,cat_A,2,1,0,150.19,134.28,178.18962962962962,122.95
45,S01,hyper,cat_A,3,1,0,125.3,137.78,106.67107142857142,116.82
46,S01,hyper,cat_A,4,1,0,144.68,129.75,93.72142857142858,118.02
47,S01,hyper,cat_A,5,1,0,258.43,178.18,125.06321428571428,152.91
48,S01,hyper,cat_A,6,1,0,171.33,189.19,155.60535714285714,164.89
49,S01,hyper,cat_A,0,1,0,124.42,162.0,114.21571428571428,119.12
50,S01,hyper,cat_A,1,1,0,131.42,114.41,182.165,159.84
51,S01,hyper,cat_A,2,1,0,122.95,150.19,148.85071428571428,182.98
52,S01,hyper,cat_A,3,1,0,116.82,125.3,125.46107142857143,116.36
53,S01,hyper,cat_A,4,1,1,118.02,144.68,150.18964285714284,237.13
54,S01,hyper,cat_A,5,1,0,152.91,258.43,258.4322222222222,185.46
55,S01,hyper,cat_A,6,1,1,164.89,171.33,162.86642857142854,253.33
56,S01,hyper,cat_A,0,1,0,119.12,124.42,122.37928571428571,145.42
57,S01,hyper,cat_A,1,1,0,159.84,131.42,180.79607142857142,136.06
58,S01,hyper,cat_A,2,1,0,182.98,122.95,149.5082142857143,131.62
59,S01,hyper,cat_A,3,1,0,116.36,116.82,110.14214285714284,146.03
60,S01,hyper,cat_A,4,2,0,237.13,118.02,158.53821428571428,149.86
61,S01,hyper,cat_A,5,2,0,185.46,152.91,181.13035714285712,179.1
62,S01,hyper,cat_A,6,2,0,253.33,164.89,178.89499999999998,185.46
63,S01,hyper,cat_A,0,2,0,145.42,119.12,209.67964285714285,140.02
64,S01,hyper,cat_A,1,2,0,136.06,159.84,312.48214285714283,149.1
65,S01,hyper,cat_A,2,2,0,131.62,182.98,137.04,156.71
66,S01,hyper,cat_A,3,2,0,146.03,116.36,96.82857142857142,128.47
67,S01,hyper,cat_A,4,2,0,149.86,237.13,145.92464285714286,146.05
68,S01,hyper,cat_A,5,2,0,179.1,185.46,172.16821428571424,174.43
69,S01,hyper,cat_A,6,2,0,185.46,253.33,135.03071428571428,189.27
70,S01,hyper,cat_A,0,2,1,140.02,145.42,175.44321428571428,248.0
71,S01,hyper,cat_A,1,2,0,149.1,136.06,161.9537037037037,115.85
72,S01,hyper,cat_A,2,2,0,156.71,131.62,98.83535714285713,147.11
73,S01,hyper,cat_A,3,2,0,128.47,146.03,91.00571428571428,159.02
74,S01,hyper,cat_A,4,2,0,146.05,149.86,133.15178571428572,139.73
75,S01,hyper,cat_A,5,2,0,174.43,179.1,164.945,192.61
76,S01,hyper,cat_A,6,2,1,189.27,185.46,115.41214285714284,304.57
77,S01,hyper,cat_A,0,2,0,248.0,140.02,174.6042857142857,141.87
78,S01,hyper,cat_A,1,2,0,115.85,149.1,141.6125,167.13
79,S01,hyper,cat_A,2,2,0,147.11,156.71,133.12,164.28
80,S01,hyper,cat_A,3,2,0,159.02,128.47,144.38785714285714,141.88
81,S01,hyper,cat_A,4,2,0,139.73,146.05,273.13,143.9
82,S01,hyper,cat_A,5,2,0,192.61,174.43,153.9710714285714,187.74
83,S01,hyper,cat_A,6,2,0,304.57,189.27,119.99892857142856,216.97
84,S01,hyper,cat_A,0,2,0,141.87,248.0,178.70964285714285,150.45
85,S01,hyper,cat_A,1,2,0,167.13,115.85,163.6439285714286,130.73
86,S01,hyper,cat_A,2,2,0,164.28,147.11,117.08178571428572,146.25
87,S01,hyper,cat_A,3,2,1,141.88,159.02,162.1567857142857,248.02
88,S01,hyper,cat_A,4,2,0,143.9,139.73,200.5425,136.2
89,S01,hyper,cat_A,5,2,0,187.74,192.61,189.69000000000003,182.19
90,S01,hyper,cat_A,6,3,0,216.97,304.57,202.55464285714285,217.38
91,S01,hyper,cat_A,0,3,0,150.45,141.87,373.1232142857143,136.82
92,S01,hyper,cat_A,1,3,0,130.73,167.13,139.65607142857144,136.0
93,S01,hyper,cat_A,2,3,0,146.25,164.28,90.93749999999999,151.66
94,S01,hyper,cat_A,3,3,0,248.02,141.88,148.9335714285714,144.35
95,S01,hyper,cat_A,4,3,0,136.2,143.9,181.40178571428572,142.84
96,S01,hyper,cat_A,5,3,0,182.19,187.74,146.43785714285715,191.32
97,S01,hyper,cat_A,6,3,0,217.38,216.97,168.44071428571425,222.68
98,S01,hyper,cat_A,0,3,0,136.82,150.45,143.9548148148148,143.43
99,S01,hyper,cat_A,1,3,0,136.0,130.73,105.92035714285714,131.35
100,S01,hyper,cat_A,2,3,0,151.66,146.25,89.51107142857141,172.05
101,S01,hyper,cat_A,3,3,0,144.35,248.02,133.0467857142857,155.9
102,S01,hyper,cat_A,4,3,0,142.84,136.2,180.1367857142857,158.51
103,S01,hyper,cat_A,5,3,0,191.32,182.19,120.1042857142857,173.43
104,S01,hyper,cat_A,6,3,0,222.68,217.38,179.4039285714286,174.91
105,S01,hyper,cat_A,0,3,0,143.43,136.82,157.71499999999997,141.19
